"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 27 10:32:38 GMT 2024","Fri Sep 27 10:32:38 GMT 2024","2","tests","test_api_service","","","","Partially update an entity","
    Task: Entity deleting test

    Steps:
        1. Add entity
        2. Patch added entity
        3. Check status code
        4. Check data

    TearDown:
        - delete added entity

    Expected result:
        - the entity was deleted"
"broken","Fri Sep 27 10:32:37 GMT 2024","Fri Sep 27 10:32:37 GMT 2024","38","tests","test_api_service","","","","Create a new entity","
    Task: Entity addition test

    Steps:
        1. Add entity
        2. Check status code
        
    TearDown:
        - delete added entity

    Expected result:
        - new entity was added"
"broken","Fri Sep 27 10:32:38 GMT 2024","Fri Sep 27 10:32:38 GMT 2024","2","tests","test_api_service","","","","Delete entity","
    Task: Entity deletion test

    Steps:
        1. Add entity
        2. Delete added entity
        3. Check status code

    Expected result:
        - entity was deleted by ID"
"broken","Fri Sep 27 10:32:38 GMT 2024","Fri Sep 27 10:32:38 GMT 2024","2","tests","test_api_service","","","","Get a list of entities","
    Task: All entities retrieving test

    Steps:
        1. Add several entities
        2. Get all entities
        3. Check status code

    TearDown:
        - delete added entities

    Expected result:
        - all entities were retrieved"
"broken","Fri Sep 27 10:32:38 GMT 2024","Fri Sep 27 10:32:38 GMT 2024","2","tests","test_api_service","","","","Get a single entity","
    Task: Entity retrieval test

    Steps:
        1. Add entity
        2. Get entity by ID
        3. Check status code
        4. Check data

    TearDown:
        - delete added entity

    Expected result:
        - entity was retrieved by ID"
