"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 27 12:05:18 GMT 2024","Fri Sep 27 12:05:18 GMT 2024","39","tests","test_api_service","","","","Get a list of entities","
    Task: All entities retrieving test

    Steps:
        1. Add several entities
        2. Get all entities
        3. Check status code

    TearDown:
        - delete added entities

    Expected result:
        - all entities were retrieved"
"passed","Fri Sep 27 12:05:18 GMT 2024","Fri Sep 27 12:05:18 GMT 2024","6","tests","test_api_service","","","","Get a single entity","
    Task: Entity retrieval test

    Steps:
        1. Add entity
        2. Get entity by ID
        3. Check status code
        4. Check data

    TearDown:
        - delete added entity

    Expected result:
        - entity was retrieved by ID"
"passed","Fri Sep 27 12:05:18 GMT 2024","Fri Sep 27 12:05:18 GMT 2024","8","tests","test_api_service","","","","Create a new entity","
    Task: Entity addition test

    Steps:
        1. Add entity
        2. Check status code
        
    TearDown:
        - delete added entity

    Expected result:
        - new entity was added"
"passed","Fri Sep 27 12:05:18 GMT 2024","Fri Sep 27 12:05:18 GMT 2024","4","tests","test_api_service","","","","Delete entity","
    Task: Entity deletion test

    Steps:
        1. Add entity
        2. Delete added entity
        3. Check status code

    Expected result:
        - entity was deleted by ID"
"passed","Fri Sep 27 12:05:18 GMT 2024","Fri Sep 27 12:05:18 GMT 2024","8","tests","test_api_service","","","","Partially update an entity","
    Task: Entity deleting test

    Steps:
        1. Add entity
        2. Patch added entity
        3. Check status code
        4. Check data

    TearDown:
        - delete added entity

    Expected result:
        - the entity was deleted"
